CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"847,364,416.80",0.14,"847,364,416.80","9,394,284.00",90.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
SNPS,SYNOPSYS INC,Information Technology,Equity,"846,762,621.63",0.14,"846,762,621.63","1,789,477.00",473.19,United States,NASDAQ,USD,1.0,USD,-,2017,6
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"834,378,995.25",0.14,"834,378,995.25","8,466,555.00",98.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"833,686,963.20",0.14,"833,686,963.20","11,451,744.00",72.80,United States,NASDAQ,USD,1.0,USD,-,2017,6
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"818,373,030.72",0.14,"818,373,030.72","15,689,667.00",52.16,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
HWM,HOWMET AEROSPACE INC,Industrials,Equity,"815,524,821.54",0.14,"815,524,821.54","4,688,541.00",173.94,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"807,844,243.85",0.14,"807,844,243.85","2,937,295.00",275.03,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,"807,435,673.40",0.14,"807,435,673.40","1,934,441.00",417.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,"801,422,024.06",0.14,"801,422,024.06","4,583,221.00",174.86,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
EMR,EMERSON ELECTRIC,Industrials,Equity,"793,821,800.83",0.14,"793,821,800.83","6,527,603.00",121.61,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
USB,US BANCORP,Financials,Equity,"792,779,256.70",0.13,"792,779,256.70","18,058,753.00",43.90,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
HCA,HCA HEALTHCARE INC,Health Care,Equity,"790,058,717.94",0.13,"790,058,717.94","2,070,059.00",381.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
