Date,Open,High,Low,Close,Adj
1-Feb-02,596.66,596.66,567.11,583.88,583.88
1-Jan-02,604.94,620.63,572.44,596.66,596.66
1-Dec-01,599.32,617.91,583.24,604.94,604.94
1-Nov-01,557.29,612.04,554.12,599.32,599.32
1-Oct-01,546.46,583.5,538.97,557.29,557.29
1-Sep-01,597.67,609.04,497.21,546.46,546.46
1-Aug-01,637.43,646,592.78,597.67,597.67
1-Jul-01,646.93,654.42,613.17,637.43,637.43
1-Jun-01,662.28,679.81,634.25,646.64,646.64
1-May-01,658.89,695.72,649.83,662.39,662.39
1-Apr-01,610.36,669.04,572.48,658.9,658.9
1-Mar-01,654.25,669.91,568.77,610.36,610.36
1-Feb-01,722.55,726.98,641.73,654.25,654.25
1-Jan-01,700.09,732.13,670.76,722.55,722.55
1-Dec-00,692.4,741.44,662.22,700.09,700.09
1-Nov-00,763.06,771,681.83,692.4,692.4
1-Oct-00,772.6,778.55,695.19,763.06,763.06
1-Sep-00,811.22,818.26,758.99,772.6,772.6
1-Aug-00,755.57,814.93,749.43,811.17,811.17
1-Jul-00,769.68,806.22,745.19,755.57,755.57
1-Jun-00,750.98,790.27,750.98,769.68,769.68
1-May-00,771.58,786.19,716.91,750.98,750.98
1-Apr-00,797.99,810.62,706.27,771.58,771.58
1-Mar-00,733.04,826.76,722.94,797.99,797.99
1-Feb-00,736.08,764.32,708.33,733.04,733.04
1-Jan-00,767.97,773.94,712.74,736.08,736.08
1-Dec-99,724.66,769.75,723.88,767.97,767.97
1-Nov-99,707.19,743.16,699.78,724.66,724.66
1-Oct-99,663.83,712.12,639.16,707.19,707.19
1-Sep-99,683.27,704.91,650.53,663.83,663.83
1-Aug-99,690.51,714.37,655.48,683.27,683.27
1-Jul-99,713.6,737.53,690.34,690.51,690.51
1-Jun-99,679.1,714.09,666.34,713.61,713.61
1-May-99,695.25,717.57,666.48,679.1,679.1
1-Apr-99,667.49,712.68,665.37,695.25,695.25
1-Mar-99,643.67,685.32,633.15,667.49,667.49
1-Feb-99,665.64,667.86,630.32,643.67,643.67
1-Jan-99,642.87,667.71,631.26,665.64,665.64
